
== high-contrast.json ==
check                    color             ratio  need  status
------------------------------------------------------------
text                     #000000           21.00   4.5  PASS
heading                  #000000           21.00   4.5  PASS
textSecondary            #2a2a2a           14.35   4.5  PASS
textFaint                #4a4a4a            8.86   3.0  PASS
link                     #0000cc           11.22   4.5  PASS
accent                   #0000cc           11.22   3.0  PASS
marker                   #5a5a5a            6.90   4.5  PASS
railTick                 #4a4a4a            8.86   3.0  PASS
pathMissing              #cc0000            5.89   4.5  PASS
searchHit                #0000cc           11.22   3.0  PASS
searchHitCurrent         #0000cc           11.22   3.0  PASS
calloutNote              #0000cc           11.22   3.0  PASS
calloutWarning           #0000cc           11.22   3.0  PASS
calloutSuccess           #006600            7.24   3.0  PASS
calloutDanger            #cc0000            5.89   3.0  PASS
changeAdded              #006600            7.24   3.0  PASS
changeRemoved            #cc0000            5.89   3.0  PASS
changeModified           #0000cc           11.22   3.0  PASS
placeholderOnGlass       #2a2a2a           12.82   3.0  PASS
secondaryGlyphOnBand     #2a2a2a           12.82   3.0  PASS
textOnSearchHit          #0000cc           11.22   4.5  PASS
textOnSearchHitCurrent   #0000cc           11.22   4.5  PASS
code.keyword             #7a0080            8.77   4.5  PASS
code.string              #006600            6.47   4.5  PASS
code.number              #0000cc           10.02   4.5  PASS
code.comment             #4a4a4a            7.92   3.0  PASS
code.type                #005a6e            6.98   4.5  PASS
code.function            #00308f           10.31   4.5  PASS
code.variable            #000000           18.76   4.5  PASS
code.constant            #7a0080            8.77   4.5  PASS
code.operator            #1a1a1a           15.55   4.5  PASS
code.punctuation         #333333           11.29   4.5  PASS
code.attribute           #0000cc           10.02   4.5  PASS
code.diffAdded           #006600            6.47   4.5  PASS
code.diffRemoved         #cc0000            5.26   4.5  PASS
code.diffHeader          #333333           11.29   4.5  PASS

== nord.json ==
check                    color             ratio  need  status
------------------------------------------------------------
text                     #d8dee9            9.25   4.5  PASS
heading                  #eceff4           10.84   4.5  PASS
textSecondary            #aeb8c8            6.24   4.5  PASS
textFaint                #747e90            3.05   3.0  PASS
link                     #81a1c1            4.64   4.5  PASS
accent                   #88c0d0            6.24   3.0  PASS
marker                   #b7c0d0            6.82   4.5  PASS
railTick                 #8f9bad            4.44   3.0  PASS
pathMissing              #e88992            5.01   4.5  PASS
searchHit                #8fbcbb            5.99   3.0  PASS
searchHitCurrent         #88c0d0            6.24   3.0  PASS
calloutNote              #81a1c1            4.64   3.0  PASS
calloutWarning           #81a1c1            4.64   3.0  PASS
calloutSuccess           #a3be8c            6.13   3.0  PASS
calloutDanger            #bf616a            3.05   3.0  PASS
changeAdded              #a3be8c            6.13   3.0  PASS
changeRemoved            #bf616a            3.05   3.0  PASS
changeModified           #81a1c1            4.64   3.0  PASS
placeholderOnGlass       #aeb8c8            5.03   3.0  PASS
secondaryGlyphOnBand     #aeb8c8            5.03   3.0  PASS
textOnSearchHit          #8fbcbb           10.08   4.5  PASS
textOnSearchHitCurrent   #88c0d0           10.50   4.5  PASS
code.keyword             #81a1c1            4.91   4.5  PASS
code.string              #a3be8c            6.48   4.5  PASS
code.number              #b48ead            4.67   4.5  PASS
code.comment             #6e7a91            3.06   3.0  PASS
code.type                #8fbcbb            6.34   4.5  PASS
code.function            #88c0d0            6.61   4.5  PASS
code.variable            #d8dee9            9.78   4.5  PASS
code.constant            #b48ead            4.67   4.5  PASS
code.operator            #81a1c1            4.91   4.5  PASS
code.punctuation         #eceff4           11.47   4.5  PASS
code.attribute           #8fbcbb            6.34   4.5  PASS
code.diffAdded           #a3be8c            6.48   4.5  PASS
code.diffRemoved         #cd848b            4.58   4.5  PASS
code.diffHeader          #88c0d0            6.61   4.5  PASS

== paper-light.json ==
check                    color             ratio  need  status
------------------------------------------------------------
text                     #292522           13.84   4.5  PASS
heading                  #181513           16.56   4.5  PASS
textSecondary            #685f56            5.69   4.5  PASS
textFaint                #8b8178            3.47   3.0  PASS
link                     #245fb8            5.62   4.5  PASS
accent                   #307afe            3.58   3.0  PASS
marker                   #71665c            5.09   4.5  PASS
railTick                 #81766c            4.03   3.0  PASS
pathMissing              #75695f            4.85   4.5  PASS
searchHit                #2f6fb0            4.76   3.0  PASS
searchHitCurrent         #245fb8            5.62   3.0  PASS
calloutNote              #2f6fb0            4.76   3.0  PASS
calloutWarning           #2f6fb0            4.76   3.0  PASS
calloutSuccess           #2f7a46            4.79   3.0  PASS
calloutDanger            #b03a34            5.46   3.0  PASS
changeAdded              #2f7a46            4.79   3.0  PASS
changeRemoved            #b03a34            5.46   3.0  PASS
changeModified           #2a5db0            5.81   3.0  PASS
placeholderOnGlass       #685f56            6.16   3.0  PASS
secondaryGlyphOnBand     #685f56            6.16   3.0  PASS
textOnSearchHit          #2f6fb0            5.22   4.5  PASS
textOnSearchHitCurrent   #245fb8            6.17   4.5  PASS
code.keyword             #8e4f7d            4.91   4.5  PASS
code.string              #4b755e            4.37   4.5  FAIL
code.number              #1a659e            5.15   4.5  PASS
code.comment             #8f8681            2.97   3.0  FAIL
code.type                #1f6fa8            4.49   4.5  FAIL
code.function            #2a5db0            5.32   4.5  PASS
code.variable            #3a342f           10.23   4.5  PASS
code.constant            #2a5db0            5.32   4.5  PASS
code.operator            #75695f            4.44   4.5  FAIL
code.punctuation         #736a60            4.42   4.5  FAIL
code.attribute           #245fb8            5.15   4.5  PASS
code.diffAdded           #2f7a46            4.39   4.5  FAIL
code.diffRemoved         #b03a34            5.00   4.5  PASS
code.diffHeader          #6b6259            4.98   4.5  PASS

== solarized-light.json ==
check                    color             ratio  need  status
------------------------------------------------------------
text                     #526b72            5.25   4.5  PASS
heading                  #586e75            4.99   4.5  PASS
textSecondary            #526b72            5.25   4.5  PASS
textFaint                #849090            3.05   3.0  PASS
link                     #006d9c            5.31   4.5  PASS
accent                   #268bd2            3.41   3.0  PASS
marker                   #526b72            5.25   4.5  PASS
railTick                 #657b83            4.13   3.0  PASS
pathMissing              #b02120            6.31   4.5  PASS
searchHit                #268bd2            3.41   3.0  PASS
searchHitCurrent         #006d9c            5.31   3.0  PASS
calloutNote              #268bd2            3.41   3.0  PASS
calloutWarning           #268bd2            3.41   3.0  PASS
calloutSuccess           #788b00            3.55   3.0  PASS
calloutDanger            #dc322f            4.29   3.0  PASS
changeAdded              #788b00            3.55   3.0  PASS
changeRemoved            #dc322f            4.29   3.0  PASS
changeModified           #1e6ca4            5.21   3.0  PASS
placeholderOnGlass       #526b72            4.63   3.0  PASS
secondaryGlyphOnBand     #526b72            4.63   3.0  PASS
textOnSearchHit          #268bd2            5.71   4.5  PASS
textOnSearchHitCurrent   #006d9c            5.73   4.5  PASS
code.keyword             #606e00            4.60   4.5  PASS
code.string              #1e736d            4.60   4.5  PASS
code.number              #ba3073            4.56   4.5  PASS
code.comment             #7b8686            3.06   3.0  PASS
code.type                #836300            4.57   4.5  PASS
code.function            #1e6ca4            4.59   4.5  PASS
code.variable            #586b72            4.56   4.5  PASS
code.constant            #b44314            4.57   4.5  PASS
code.operator            #606e00            4.60   4.5  PASS
code.punctuation         #606969            4.60   4.5  PASS
code.attribute           #5d61a9            4.57   4.5  PASS
code.diffAdded           #606e00            4.60   4.5  PASS
code.diffRemoved         #c42d2a            4.56   4.5  PASS
code.diffHeader          #1e6ca4            4.59   4.5  PASS

== system.json ==
check                    color             ratio  need  status
------------------------------------------------------------
text                     system:label          -     -  N/A
heading                  system:label          -     -  N/A
textSecondary            system:secondaryLabel      -     -  N/A
textFaint                system:tertiaryLabel      -     -  N/A
link                     system:link           -     -  N/A
accent                   system:accent         -     -  N/A
marker                   system:quaternaryLabel      -     -  N/A
railTick                 system:tertiaryLabel      -     -  N/A
pathMissing              system:systemRed      -     -  N/A
searchHit                system:systemBlue      -     -  N/A
searchHitCurrent         system:systemBlue      -     -  N/A
calloutNote              system:systemBlue      -     -  N/A
calloutWarning           system:systemBlue      -     -  N/A
calloutSuccess           system:systemGreen      -     -  N/A
calloutDanger            system:systemRed      -     -  N/A
changeAdded              system:systemGreen      -     -  N/A
changeRemoved            system:systemRed      -     -  N/A
changeModified           system:systemBlue      -     -  N/A
placeholderOnGlass       system:secondaryLabel      -     -  N/A
secondaryGlyphOnBand     system:secondaryLabel      -     -  N/A
textOnSearchHit          system:systemBlue      -   4.5  N/A
textOnSearchHitCurrent   system:systemBlue      -   4.5  N/A
code.keyword             system:systemPink      -     -  N/A
code.string              system:systemRed      -     -  N/A
code.number              system:systemBlue      -     -  N/A
code.comment             system:systemGreen      -     -  N/A
code.type                system:systemTeal      -     -  N/A
code.function            system:systemBlue      -     -  N/A
code.variable            system:label          -     -  N/A
code.constant            system:systemPurple      -     -  N/A
code.operator            system:secondaryLabel      -     -  N/A
code.punctuation         system:tertiaryLabel      -     -  N/A
code.attribute           system:systemBlue      -     -  N/A
